date,storenumber,total_lettuce_trans_rep
2015-05-21,12631,5
2015-05-21,12631,5
2015-05-21,20974,5
2015-05-22,12631,5
2015-05-22,12631,5
2015-05-22,12631,5
2015-05-23,12631,5
2015-05-23,12631,5
2015-05-23,46673,5
2015-05-24,12631,5
2015-05-24,12631,5
2015-05-24,46673,5
2015-05-25,12631,5
2015-05-25,20974,5
2015-05-25,46673,5
2015-05-26,12631,5
2015-05-26,46673,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,10
2015-05-27,20974,5
2015-05-27,46673,5
2015-05-27,46673,5
2015-05-28,12631,5
2015-05-28,20974,5
2015-05-28,20974,5
2015-05-28,46673,5
2015-05-28,46673,5
2015-05-28,46673,5
2015-05-29,12631,5
2015-05-29,12631,5
2015-05-29,12631,5
2015-05-29,12631,5
2015-05-29,12631,5
2015-05-30,12631,5
2015-05-31,12631,10
2015-05-31,12631,5
2015-05-31,12631,5
2015-05-31,46673,5
2015-06-01,12631,5
2015-06-01,12631,5
2015-06-01,12631,5
2015-06-01,12631,5
2015-06-01,46673,5
2015-06-01,46673,5
2015-06-02,12631,5
2015-06-02,12631,5
2015-06-03,12631,5
2015-06-03,12631,5
2015-06-03,12631,5
2015-06-03,20974,5
2015-06-03,46673,5
2015-06-04,12631,5
2015-06-04,12631,5
2015-06-04,12631,5
2015-06-04,20974,5
2015-06-04,46673,5
2015-06-05,4904,5
2015-06-05,12631,5
2015-06-05,12631,5
2015-06-05,20974,5
2015-06-06,12631,5
2015-06-06,20974,5
2015-06-07,12631,5
2015-06-07,12631,5
2015-06-07,46673,5
2015-06-07,46673,5
2015-06-08,12631,10
2015-06-08,20974,5
2015-06-08,20974,5
2015-06-08,46673,5
2015-06-08,46673,10
2015-06-09,12631,5
2015-06-09,12631,5
2015-06-09,12631,5
2015-06-09,12631,5
2015-06-09,46673,5
2015-06-10,12631,5
