date,total_lettuce
2015-03-05,232
2015-03-06,227
2015-03-07,181
2015-03-08,221
2015-03-09,229
2015-03-10,237
2015-03-11,235
2015-03-12,244
2015-03-13,218
2015-03-14,205
2015-03-15,248
2015-03-16,153
2015-03-17,222
2015-03-18,262
2015-03-19,259
2015-03-20,274
2015-03-21,250
2015-03-22,209
2015-03-23,202
2015-03-24,207
2015-03-25,251
2015-03-26,256
2015-03-27,246
2015-03-28,251
2015-03-29,214
2015-03-30,218
2015-03-31,245
2015-04-01,268
2015-04-02,236
2015-04-03,352
2015-04-04,190
2015-04-05,280
2015-04-06,232
2015-04-07,243
2015-04-08,217
2015-04-09,309
2015-04-10,354
2015-04-11,212
2015-04-12,264
2015-04-13,252
2015-04-14,251
2015-04-15,306
2015-04-16,291
2015-04-17,328
2015-04-18,221
2015-04-19,199
2015-04-20,249
2015-04-21,241
2015-04-22,265
2015-04-23,279
2015-04-24,313
2015-04-25,233
2015-04-26,324
2015-04-27,354
2015-04-28,324
2015-04-29,307
2015-04-30,316
2015-05-01,324
2015-05-02,203
2015-05-03,369
2015-05-04,246
2015-05-05,267
2015-05-06,256
2015-05-07,313
2015-05-08,277
2015-05-09,257
2015-05-10,264
2015-05-11,238
2015-05-12,259
2015-05-13,361
2015-05-14,316
2015-05-15,263
2015-05-16,233
2015-05-17,256
2015-05-18,220
2015-05-19,258
2015-05-20,237
2015-05-21,350
2015-05-22,271
2015-05-23,194
2015-05-24,244
2015-05-25,289
2015-05-26,253
2015-05-27,318
2015-05-28,371
2015-05-29,351
2015-05-30,279
2015-05-31,236
2015-06-01,204
2015-06-02,252
2015-06-03,241
2015-06-04,279
2015-06-05,232
2015-06-06,245
2015-06-07,282
2015-06-08,230
2015-06-09,294
2015-06-10,235
2015-06-11,376
2015-06-12,366
2015-06-13,229
2015-06-14,234
2015-06-15,232
