date,storenumber,total_lettuce
2015-05-14,46673,123
2015-05-14,12631,316
2015-05-15,46673,76
2015-05-15,20974,186
2015-05-15,4904,226
2015-05-15,12631,263
2015-05-16,12631,233
2015-05-16,20974,194
2015-05-16,46673,50
2015-05-16,4904,332
2015-05-17,20974,204
2015-05-17,12631,256
2015-05-17,46673,147
2015-05-17,4904,300
2015-05-18,46673,126
2015-05-18,4904,320
2015-05-18,12631,220
2015-05-18,20974,222
2015-05-19,4904,322
2015-05-19,12631,258
2015-05-19,46673,159
2015-05-19,20974,218
2015-05-20,46673,172
2015-05-20,12631,237
2015-05-20,20974,242
2015-05-20,4904,290
2015-05-21,4904,298
2015-05-21,20974,203
2015-05-21,12631,350
2015-05-21,46673,162
2015-05-22,46673,92
2015-05-22,20974,154
2015-05-22,12631,271
2015-05-22,4904,162
2015-05-23,4904,264
2015-05-23,20974,112
2015-05-23,46673,79
2015-05-23,12631,194
2015-05-24,12631,244
2015-05-24,4904,168
2015-05-24,20974,130
2015-05-24,46673,99
2015-05-25,20974,243
2015-05-25,46673,125
2015-05-25,12631,289
2015-05-25,4904,284
2015-05-26,46673,171
2015-05-26,4904,334
2015-05-26,20974,264
2015-05-26,12631,253
2015-05-27,46673,182
2015-05-27,20974,263
2015-05-27,4904,370
2015-05-27,12631,318
2015-05-28,20974,222
2015-05-28,46673,185
2015-05-28,4904,270
2015-05-28,12631,371
2015-05-29,46673,98
2015-05-29,20974,206
2015-05-29,4904,258
2015-05-29,12631,351
2015-05-30,4904,206
2015-05-30,12631,279
2015-05-30,46673,50
2015-05-30,20974,128
2015-05-31,4904,436
2015-05-31,46673,151
2015-05-31,20974,172
2015-05-31,12631,236
2015-06-01,20974,198
2015-06-01,46673,188
2015-06-01,4904,362
2015-06-01,12631,204
2015-06-02,4904,374
2015-06-02,20974,228
2015-06-02,12631,252
2015-06-02,46673,148
2015-06-03,20974,249
2015-06-03,4904,318
2015-06-03,12631,241
2015-06-03,46673,165
2015-06-04,20974,219
2015-06-04,4904,330
2015-06-04,46673,167
2015-06-04,12631,279
2015-06-05,12631,232
2015-06-05,20974,185
2015-06-05,4904,251
2015-06-05,46673,96
2015-06-06,4904,230
2015-06-06,46673,86
2015-06-06,12631,245
2015-06-06,20974,161
2015-06-07,20974,200
2015-06-07,46673,244
2015-06-07,4904,416
2015-06-07,12631,282
2015-06-08,12631,230
2015-06-08,46673,173
2015-06-08,20974,224
2015-06-08,4904,318
2015-06-09,46673,127
2015-06-09,12631,294
2015-06-09,20974,210
2015-06-09,4904,352
2015-06-10,46673,124
2015-06-10,20974,256
2015-06-10,12631,235
2015-06-10,4904,298
2015-06-11,20974,386
2015-06-11,46673,151
2015-06-11,12631,376
2015-06-11,4904,256
2015-06-12,4904,223
2015-06-12,12631,366
2015-06-12,20974,170
2015-06-12,46673,134
2015-06-13,12631,229
2015-06-13,46673,96
2015-06-13,4904,216
2015-06-13,20974,206
2015-06-14,46673,138
2015-06-14,12631,234
2015-06-14,4904,350
2015-06-14,20974,167
2015-06-15,46673,244
2015-06-15,20974,266
2015-06-15,4904,338
2015-06-15,12631,232
